

# 2022 ipro 0120v12a--prs-proscan_control_acc/
# aus 0630a_generate_locup_pattern/
# MCTD, large millicell.
# Closely spaced FOVs in track center.



!m : 40 points along track, 0 to 39, 9deg/motion
0 -0 9708
1 1519 9588
2 3000 9233
3 4407 8650
4 5706 7854
5 6865 6865
6 7854 5706
7 8650 4407
8 9233 3000
9 9588 1519
10 9708 0
11 9588 -1519
12 9233 -3000
13 8650 -4407
14 7854 -5706
15 6865 -6865
16 5706 -7854
17 4407 -8650
18 3000 -9233
19 1519 -9588
20 0 -9708
21 -1519 -9588
22 -3000 -9233
23 -4407 -8650
24 -5706 -7854
25 -6865 -6865
26 -7854 -5706
27 -8650 -4407
28 -9233 -3000
29 -9588 -1519
30 -9708 -0
31 -9588 1519
32 -9233 3000
33 -8650 4407
34 -7854 5706
35 -6865 6865
36 -5706 7854
37 -4407 8650
38 -3000 9233
39 -1519 9588





